event_time,event_mag,event_dep,moho_dep,station,distance,SnRLg_ratio,SnRLg_error
2016-11-27T23:35:21.000000Z,5.2,35.4,46.7,IC.KMI,1637.2539022147262,-0.4737129591423903,0.658959011976332
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,IC.LSA,531.2431570252656,-0.8160703564618429,0.03992039760186219
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,G.HYB,1347.2716387273665,-1.1247026435398224,0.11444802520135076
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,II.NIL,1488.9937739503412,-0.45640954535301526,0.20571204227957696
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,IU.CHTO,1543.8797545510536,-0.15700904239419078,0.7254351855318787
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,KZ.PDG,1931.4262761166665,0.6222082150120188,0.8475095189432349
2006-02-03T01:57:48.000000Z,4.7,30.9,43.9,KN.KZA,1977.0832360154661,0.30224110910855834,0.7436634554186173
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.LSA,367.2989756370781,-1.3799714603187583,0.00014745722094084115
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,NK.KKN,727.1143647901597,-0.8614492714302358,0.00041422041238221375
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.KMI,1039.5159297097878,-0.6865303157711423,0.009452304541425927
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IU.CHTO,1088.3489158575512,-0.9777779578339394,0.01382871798109296
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,RM.SLV,1299.7421376659413,-1.1745367115331846,0.05289248953458028
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.ENH,1711.403588909906,-0.06334658109501222,0.010852425651373218
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.XAN,1777.1079187333517,-0.4392508966533171,0.027634985708650216
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.WMQ,1956.0426361634973,1.3945357165250385,0.008979306971176954
2021-04-28T02:21:26.000000Z,6.0,39.8,40.4,IC.QIZ,1966.1683774902333,0.4621385353497395,0.19725827738977897
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,XF.NSIND,389.2997786394708,-0.5199562849965967,0.0007741553965352341
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,XF.NP080,592.0598275078037,-0.7153910784126806,0.001660802470681721
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,XD.CHK,1402.5252027969048,-0.5604143288994425,0.1124173041848334
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,G.HYB,1565.9878531542386,-2.264541293997103,0.04423209078461922
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,XD.MNY,1602.7314587968551,-0.25103313460597654,0.31854618197476003
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,II.NIL,1755.569990752046,0.09901955622807651,0.020060630401050078
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,IC.WMQ,1884.0560283547434,0.5926135781426126,0.23993986344389262
2003-03-25T18:51:26.000000Z,5.4,55.8,47.7,IC.ENH,1957.4131065649415,0.36455702797079,0.08842405555632495
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,Z6.MANK,398.278338478254,-0.6045588693783829,0.001509403968694327
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IC.LSA,432.97929141260744,-0.5261667136425839,0.01945621158252185
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,Z6.LAMA,495.1425973938914,-0.40519192608963206,0.009775626238126974
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,RM.SIM,669.8283913590373,0.3074907141547635,0.040160821637444014
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.CMAI,926.3219922026823,-1.3950383956133716,0.02310751454827211
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IC.KMI,982.0738095855501,-0.5756873178469885,0.12689287200727037
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.CMMT,1017.3062760185663,-1.0081242452638886,0.02001816170583719
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IU.CHTO,1017.3108916404849,-0.9958206314532919,0.02178803338187962
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.PBKT,1344.1582653167984,-1.3681266403265395,0.07904032347046981
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.NAYO,1572.2265797576304,0.5459907053921662,0.07021099446696484
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.PRAC,1674.5808372793572,0.16985214863488296,0.10568425339178669
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IC.ENH,1676.8025778832168,0.5857907246190331,0.0860311646955745
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IC.XAN,1758.6498315806502,0.11978646119428889,0.1278404557846412
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.UBPT,1768.5503443252107,-0.28461313902925867,0.0786399056088268
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,TM.CHBT,1778.8122189669944,0.1368006645064337,0.5995795243292265
2012-05-11T12:41:35.000000Z,5.4,46.1,39.1,IC.QIZ,1899.126582038,0.0359989805437875,0.6327430762276752
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,IC.LSA,448.04941641223746,-0.6258736120507942,0.005672494112060371
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,RM.SIM,698.4208963289872,0.2500700877874476,0.06742034040181046
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.MHIT,895.2155535028265,-1.3424098514117202,0.08144775553630679
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,IC.KMI,913.7720525599514,-0.4875417504137057,0.1751140759183134
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.CMMT,994.7598394485236,-1.2888942554556437,0.1153721214844383
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,IU.CHTO,994.7643100732507,-1.304533969013515,0.11177791853142345
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,RM.SLV,1177.115550328736,-0.6879991250868561,0.6219806905244101
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.PBKT,1319.2893030699695,-1.384062110622762,0.5012822828332357
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.NONG,1337.0489515296829,-0.8319909449179912,0.8971061627827589
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.SRDT,1441.3566814737187,-0.657391576029753,0.22042711780150293
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.TMDB,1580.102072825799,-0.4477516922840287,0.6450127251676075
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,IC.ENH,1602.1886833326319,0.43290539838044123,0.2597899396736556
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.PRAC,1665.8223115852838,0.06612143480636097,0.6542738545781577
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,IC.XAN,1686.7119211879249,-0.8905298555348716,0.22389398592321458
2013-11-06T04:16:17.000000Z,5.3,35.5,44.6,TM.CHBT,1758.7660469877776,0.10454705944741069,0.5294296625667041
